352514	0.382
528940	0.555
662089	0.436
662092	0.323
662087	0.380
662091	0.337
573984	0.499
476082	0.458
487428	0.415
436528	0.391
462467	0.555
488059	0.330
488058	0.283
393389	0.466
521837	0.425
80844	0.439
80843	0.503
502907	0.228
640057	0.350
80841	0.512
568215	0.257
586206	0.480
210540	0.386
583811	0.369
544227	0.520
161193	0.339
118419	0.489
160873	0.341
626180	0.528
682495	0.536
319371	0.333
516927	0.513
516926	0.449
383477	0.410
264578	0.222
415761	0.554
530745	0.408
32890	0.302
637083	0.495
547924	0.494
550927	0.311
552157	0.463
212832	0.423
321120	0.416
440555	0.366
533841	0.453
246233	0.347
130485	0.333
129475	0.526
674962	0.386
315910	0.447
578505	0.320
661283	0.401
661282	0.378
585480	0.499
632261	0.461
587911	0.496
1053	0.377
322869	0.500
565026	0.490
342369	0.341
103266	0.504
103257	0.454
367040	0.522
587787	0.360
516157	0.287
335156	0.507
175020	0.267
34193	0.257
662094	0.347
400633	0.445
267537	0.456
130412	0.338
537162	0.513
315909	0.427
662085	0.350
465511	0.562
517907	0.502
180027	0.383
513506	0.193
693815	0.466
201736	0.159
484034	0.368
484766	0.424
484033	0.237
494908	0.428
483543	0.387
376053	0.486
402734	0.501
243729	0.282
592592	0.392
85139	0.483
397363	0.501
397362	0.503
645963	0.493
507985	0.259
645964	0.447
490917	0.270
57318	0.469
449411	0.436
511451	0.446
348018	0.454
254787	0.568
7456	0.425
194246	0.487
543450	0.337
533019	0.492
410264	0.417
252788	0.442
252787	0.580
659746	0.509
451553	0.403
233346	0.399
353073	0.472
535606	0.474
52445	0.464
204352	0.475
250651	0.447
121374	0.396
530073	0.545
530299	0.463
173105	0.409
173103	0.187
162786	0.475
244504	0.414
155766	0.481
100258	0.401
134802	0.451
124700	0.471
478304	0.584
253447	0.592
451561	0.316
451558	0.397
451562	0.338
11721	0.174
76829	0.319
471064	0.387
445732	0.534
552450	0.227
163697	0.361
162215	0.534
203044	0.494
244177	0.529
244253	0.297
321894	0.449
476887	0.479
181362	0.485
649899	0.501
83933	0.470
469492	0.440
75620	0.491
321895	0.455
456821	0.503
265539	0.441
530978	0.456
208725	0.488
276603	0.562
347704	0.257
451570	0.304
453857	0.392
383275	0.491
453862	0.508
196000	0.407
319030	0.510
50496	0.513
177623	0.438
540740	0.307
540739	0.362
676642	0.421
90712	0.563
574431	0.402
553414	0.324
319729	0.459
637429	0.401
321124	0.420
450997	0.219
451047	0.506
177632	0.271
177631	0.281
451946	0.223
452456	0.472
637562	0.489
637426	0.439
167304	0.377
243042	0.349
209407	0.236
266644	0.352
363202	0.495
488635	0.423
488634	0.413
465671	0.135
410239	0.464
511689	0.523
400413	0.390
639347	0.566
529425	0.409
352839	0.380
640979	0.408
488625	0.237
494967	0.407
164844	0.487
462771	0.283
670150	0.326
127023	0.393
141776	0.401
474344	0.523
35148	0.492
35146	0.452
646456	0.464
35149	0.580
264506	0.352
244416	0.533
127022	0.434
244476	0.378
413330	0.269
402693	0.460
119781	0.262
316654	0.175
78459	0.352
613265	0.381
476245	0.335
137017	0.209
195977	0.398
195976	0.390
187749	0.376
578646	0.314
38974	0.376
78458	0.332
591654	0.242
532110	0.521
400410	0.470
583799	0.477
529134	0.519
417872	0.366
619554	0.388
489779	0.428
661315	0.549
446375	0.484
399352	0.277
372555	0.288
93337	0.343
52444	0.467
215176	0.500
170565	0.439
260755	0.412
257643	0.321
696343	0.509
421633	0.448
556004	0.490
436382	0.486
668619	0.355
203393	0.296
204483	0.518
685780	0.408
198369	0.290
57670	0.458
327612	0.486
583805	0.253
319997	0.433
640619	0.559
341823	0.435
92039	0.425
38286	0.345
235811	0.427
368396	0.504
162327	0.445
649816	0.330
362404	0.501
575282	0.505
648661	0.283
473596	0.411
367612	0.545
77034	0.509
97788	0.584
52446	0.515
264476	0.562
360293	0.423
506935	0.305
149084	0.401
73529	0.517
545178	0.506
55159	0.513
528334	0.305
327584	0.456
327585	0.501
619252	0.425
36927	0.452
124424	0.554
133474	0.532
537276	0.548
553178	0.383
24097	0.260
555199	0.584
121897	0.450
552452	0.351
31492	0.297
488949	0.550
182207	0.399
416230	0.512
164269	0.465
139950	0.455
20573	0.495
14853	0.365
70092	0.513
533918	0.538
28292	0.273
506363	0.288
127026	0.552
127025	0.544
195094	0.377
60757	0.489
524451	0.516
56626	0.398
58235	0.417
70095	0.400
130370	0.487
81007	0.558
21891	0.486
254270	0.313
198545	0.481
398003	0.393
570982	0.540
616609	0.378
414410	0.377
636973	0.493
690120	0.436
78810	0.523
131041	0.404
204053	0.558
246537	0.463
127029	0.505
60516	0.501
335003	0.575
126008	0.539
368902	0.286
335465	0.385
485340	0.415
485307	0.277
640136	0.382
396229	0.171
486390	0.288
